id,NUTS,url,date,cos_dist,loc_normal,latitude,longitude
66ff500c-c3dc-40c7-8429-f6c1e01fd765,DEA16,https://www.radiomuelheim.de/artikel/zeugin-alarmiert-polizei-nach-toetungsdelikt-1148414.html,2021-12-01,0.21773882,styrum,51.4511123,6.8563215
66ffa07c-fb76-442c-988d-a7a1cf7177aa,"DE122, DE131, DE132",https://www.sueddeutsche.de/news/panorama/kriminalitaet---freiburg-im-breisgau-fast-16-jahre-alter-mordfall-anklage-in-den-naechsten-wochen-dpa.urn-newsml-dpa-com-20090101-181128-99-993118,2018-11-27,0.20575617,ehrenkirchen,47.9227425,7.7351579
66ffc3fb-9d47-4736-a16f-b4c068ca9a2e,"DE123, DE125, DE127, DE128",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/ermittlungen--mann-flieht-aus-psychiatrie-und-ersticht-30-jaehrige-33808678.html?utm_campaign=alle&utm_medium=rss-feed&utm_source=standard,2023-09-08,0.2146803,schwetzingen,49.3852193,8.5722445
670085df-04dd-4e04-898d-e7834f4e265f,DE804,https://www.prignitzer.de/hintergrund/totschlagsprozess-gegen-54-jaehrigen-mann-sieben-jahre-haft-id26179137.html,2019-10-30,0.22384688,bad,32.497523,-93.61084276837826
6700cedc-eefb-41b3-9502-124ce570c496,DEA12,https://www.welt.de/regionales/nrw/article217147918/Ehefrau-erwuergt-und-Leiche-vergraben-Urteil-geplant.html,2020-10-04,0.21517317,duisburg,51.4344079,6.762329299999999
67027821-2a79-4f80-a0d5-33a17b44729b,"DED2C, DED2D",https://www.allgaeuer-zeitung.de/welt/panorama/16-j%C3%A4hrige-in-g%C3%B6rlitz-sachsen-get%C3%B6tet-tatverd%C3%A4chtiger-aus-gro%C3%9Fr%C3%B6hrsdorf-in-psychiatrie_arid-330574,2021-09-24,0.21724509,bautzen,51.18229299999999,14.4237749
670642c2-ce58-4937-acba-187cb822d705,"DEA22, DEA2C",http://www.tt.com/panorama/verbrechen/13747163-91/verurteilter-doppelm%C3%B6rder-f%C3%BCr-30-jahre-alten-mord-wieder-verhaftet.csp,2017-12-04,0.20990238,bonn,50.73743,7.0982068
6706b13b-32f2-4162-a9ad-2c8ee82dfe56,"DED2C, DED2D",https://www.lvz.de/Leipzig/Polizeiticker/Jugendliche-in-Grossroehrsdorf-getoetet-Fahndung-nach-Taeter-laeuft-Zeugen-gesucht,2021-09-16,0.20753337,görlitz,51.1524553,14.9688941
670ee109-8f5f-4b10-aef3-4916d1cc6bcd,"DE300, DE404, DE40E",https://www.maz-online.de/Brandenburg/Brandenburg-Sexuelle-Gewalt-gegen-Frauen-nimmt-deutlich-zu,2020-07-26,0.2085669,babelsberg,52.3875629,13.1028718
671021f5-465b-41c5-be16-b6ca891b8ee4,DE94C,https://www.stern.de/panorama/kriminalitaet--frau-in-weener-getoetet---staatsanwaltschaft-ermittelt-34233934.html?utm_campaign=panorama&utm_medium=rssfeed&utm_source=standard,2023-11-26,0.19594258,weener,53.1645939,7.3536239
