"NUTS","year","news_count","fem","pop22_tot","log_pop","year_num","year_c","fem_lag1","fem_lag2","pred_news","resid_pearson","resid_deviance","log_obs_exp","pred_news2","resid_pearson2","resid_deviance2"
"DE111","2019",160,2,612663,13.3255703084457,2019,-1,3,1,111.908020278912,0.31418975768568,0.277985276930047,0.357496535106922,73.124049257016,0.696653403566456,0.52802298143985
"DE111","2020",183,4,612663,13.3255703084457,2020,0,2,3,177.401338516809,0.0230935736487861,0.022855364823308,0.0310715432683057,103.056081204481,0.455182960944389,0.372617378097665
"DE111","2021",116,1,612663,13.3255703084457,2021,1,4,2,96.4756382605002,0.147901956969358,0.138980992291985,0.184299676512867,67.0325000573747,0.428259663627639,0.353928016851569
"DE111","2022",155,2,612663,13.3255703084457,2022,2,1,4,119.211914243717,0.219514364105222,0.200775739876052,0.262522422025418,80.978063170325,0.536129295413628,0.427026970820414
"DE111","2023",205,3,612663,13.3255703084457,2023,3,2,1,153.61256947398,0.244732980047627,0.221812378820325,0.288576334138093,100.771317975229,0.606887296213072,0.472593573298441
"DE112","2019",26,0,395167,12.8870637393451,2019,-1,3,0,34.5626250130787,-0.180165680620123,-0.197493811380877,-0.284676319807929,34.6460765482138,-0.145952455972669,-0.160157024655414
"DE112","2020",66,1,395167,12.8870637393451,2020,0,0,3,42.8355491084226,0.393851227227766,0.339517039113151,0.432286412691008,41.5421095528992,0.344614075966993,0.293764904218405
"DE112","2021",41,1,395167,12.8870637393451,2021,1,1,0,44.2648851674461,-0.0537291468920884,-0.0551014015016066,-0.0766196117585241,44.1419754632433,-0.0416734152562143,-0.0427011905767548
"DE112","2022",46,0,395167,12.8870637393451,2022,2,1,1,36.5993972294147,0.186869583786377,0.172997291721935,0.228609647098198,38.9454007192837,0.105998412341217,0.100222707433099
"DE112","2023",50,0,395167,12.8870637393451,2023,3,0,1,37.0914831781282,0.253221549952952,0.228813284100075,0.298635646100445,40.6211169897943,0.135132938370291,0.125976359090443
"DE113","2019",25,0,536601,13.1930100805575,2019,-1,1,4,18.8462277011932,0.235958423367537,0.214531895899847,0.282563092953868,45.83633161951,-0.266183921383503,-0.322150969922024
"DE113","2020",2,1,536601,13.1930100805575,2020,0,0,1,23.6042353540533,-0.663259831624071,-1.24840677602834,-2.46827847952478,57.2603921557228,-0.565528344484112,-1.26430627217398
"DE113","2021",7,2,536601,13.1930100805575,2021,1,1,0,30.5976634667428,-0.560302368865557,-0.855775264638987,-1.47501335683453,70.1986738858393,-0.527854145680626,-0.978413550616107
"DE113","2022",47,1,536601,13.1930100805575,2022,2,2,1,25.6610043011891,0.603146225155408,0.488894944540603,0.605175125781392,61.8152832964281,-0.140476864759753,-0.153546328108063
"DE113","2023",18,0,536601,13.1930100805575,2023,3,1,2,20.9178693250097,-0.10094006875051,-0.105987058964563,-0.150231971849164,54.6434022002228,-0.392907602608748,-0.548602010531575
"DE114","2019",1,0,258809,12.4638456168929,2019,-1,0,3,5.55739903190813,-0.573895938306248,-0.896879915076837,-1.7151291987939,22.316325508925,-0.557127755211255,-1.17829649680135
"DE114","2020",1,0,258809,12.4638456168929,2020,0,0,0,5.66181649918717,-0.576687141249557,-0.905200710762847,-1.73374377697872,23.7587376295703,-0.55897322806412,-1.19547691478954
"DE114","2021",4,3,258809,12.4638456168929,2021,1,0,0,11.2845206864406,-0.462212292599573,-0.626675944025156,-1.0371373247377,39.7283562027508,-0.526299863339914,-0.970317539410029
"DE114","2022",9,0,258809,12.4638456168929,2022,2,3,0,6.2432438451084,0.310518994771226,0.275057367053036,0.365724794167116,25.5992623808119,-0.378574546951641,-0.51843988704843
"DE114","2023",10,1,258809,12.4638456168929,2023,3,0,3,7.73762925188117,0.207206628387395,0.190369703417073,0.256489850517848,30.6945971448512,-0.3940629618748,-0.551109669602496
"DE115","2019",5,0,535374,13.1907208470663,2019,-1,0,4,15.9525557469925,-0.494897234780236,-0.695004153899454,-1.16018093888169,45.8197913461663,-0.521659952706661,-0.946907239171012
"DE115","2020",20,1,535374,13.1907208470663,2020,0,0,0,20.2055627387502,-0.00735863230854113,-0.00738340907424115,-0.010225626048649,57.5582522733158,-0.382383591294759,-0.526298989831739
"DE115","2021",39,4,535374,13.1907208470663,2021,1,1,0,40.8478377587725,-0.0329365790309072,-0.0334433631701657,-0.0462922168926338,96.0610605298961,-0.348508862901189,-0.459702669601796
