1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;2,411;1,411;1,000;26;17;9;126;47;79;152;64;88;213;118;95;205;113;92;1,719;1,036;683;122;80;42;1,841;1,116;725
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;4,716;2,958;1,758;17;9;8;236;138;98;253;147;106;434;269;165;392;228;164;3,417;2,178;1,239;220;136;84;3,637;2,314;1,323
------;Straftaten insgesamt;1003;Lübeck;KfS;voll.;5,419;3,263;2,156;44;29;15;302;156;146;346;185;161;347;175;172;380;226;154;3,938;2,441;1,497;408;236;172;4,346;2,677;1,669
------;Straftaten insgesamt;1004;Neumünster;KfS;voll.;2,307;1,491;816;15;9;6;105;57;48;120;66;54;169;85;84;195;130;65;1,700;1,123;577;123;87;36;1,823;1,210;613
------;Straftaten insgesamt;1051;Dithmarschen;K;voll.;1,783;1,058;725;25;13;12;181;102;79;206;115;91;231;129;102;123;79;44;1,108;668;440;115;67;48;1,223;735;488
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;voll.;2,400;1,329;1,071;21;11;10;178;110;68;199;121;78;213;105;108;150;86;64;1,637;904;733;201;113;88;1,838;1,017;821
------;Straftaten insgesamt;1054;Nordfriesland;K;voll.;2,063;1,188;875;16;8;8;158;95;63;174;103;71;191;99;92;138;84;54;1,360;788;572;200;114;86;1,560;902;658
------;Straftaten insgesamt;1055;Ostholstein;K;voll.;2,386;1,324;1,062;21;7;14;150;87;63;171;94;77;203;102;101;141;85;56;1,586;903;683;285;140;145;1,871;1,043;828
------;Straftaten insgesamt;1056;Pinneberg;K;voll.;3,910;2,327;1,583;36;16;20;336;184;152;372;200;172;350;216;134;249;148;101;2,631;1,572;1,059;308;191;117;2,939;1,763;1,176
------;Straftaten insgesamt;1057;Plön;K;voll.;1,165;665;500;8;4;4;137;82;55;145;86;59;133;81;52;80;52;28;701;386;315;106;60;46;807;446;361
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;voll.;2,654;1,558;1,096;20;14;6;229;145;84;249;159;90;329;204;125;169;117;52;1,676;951;725;231;127;104;1,907;1,078;829
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;voll.;2,186;1,236;950;22;15;7;144;81;63;166;96;70;251;148;103;185;116;69;1,410;774;636;174;102;72;1,584;876;708
------;Straftaten insgesamt;1060;Segeberg;K;voll.;3,433;2,084;1,349;28;12;16;258;148;110;286;160;126;386;254;132;234;150;84;2,256;1,376;880;271;144;127;2,527;1,520;1,007
------;Straftaten insgesamt;1061;Steinburg;K;voll.;1,733;1,013;720;8;5;3;163;92;71;171;97;74;265;167;98;119;62;57;1,055;612;443;123;75;48;1,178;687;491
------;Straftaten insgesamt;1062;Stormarn;K;voll.;2,473;1,471;1,002;27;15;12;189;126;63;216;141;75;231;147;84;179;98;81;1,642;970;672;205;115;90;1,847;1,085;762
------;Straftaten insgesamt;2000;Hamburg;KfS;voll.;38,172;23,768;14,404;234;128;106;2,072;1,308;764;2,306;1,436;870;2,625;1,529;1,096;2,324;1,362;962;28,604;18,074;10,530;2,313;1,367;946;30,917;19,441;11,476
------;Straftaten insgesamt;3101;Braunschweig;KfS;voll.;5,028;3,031;1,997;33;14;19;275;145;130;308;159;149;419;247;172;399;213;186;3,604;2,246;1,358;298;166;132;3,902;2,412;1,490
------;Straftaten insgesamt;3102;Salzgitter;KfS;voll.;1,919;1,045;874;29;13;16;209;120;89;238;133;105;190;115;75;119;61;58;1,255;669;586;117;67;50;1,372;736;636
------;Straftaten insgesamt;3103;Wolfsburg;KfS;voll.;1,870;1,029;841;26;12;14;108;54;54;134;66;68;135;66;69;108;45;63;1,369;776;593;124;76;48;1,493;852;641
------;Straftaten insgesamt;3151;Gifhorn;LK;voll.;1,854;1,062;792;26;15;11;180;94;86;206;109;97;215;120;95;117;67;50;1,170;678;492;146;88;58;1,316;766;550
------;Straftaten insgesamt;3153;Goslar;LK;voll.;2,236;1,283;953;24;12;12;135;70;65;159;82;77;232;132;100;126;61;65;1,543;906;637;176;102;74;1,719;1,008;711
------;Straftaten insgesamt;3154;Helmstedt;LK;voll.;1,522;841;681;24;14;10;130;74;56;154;88;66;195;99;96;117;76;41;951;515;436;105;63;42;1,056;578;478
------;Straftaten insgesamt;3155;Northeim;LK;voll.;1,814;995;819;24;11;13;153;81;72;177;92;85;157;77;80;124;67;57;1,234;678;556;122;81;41;1,356;759;597
------;Straftaten insgesamt;3157;Peine;LK;voll.;1,605;899;706;19;10;9;131;74;57;150;84;66;191;114;77;123;65;58;1,022;566;456;119;70;49;1,141;636;505
------;Straftaten insgesamt;3158;Wolfenbüttel;LK;voll.;1,174;610;564;5;2;3;103;50;53;108;52;56;110;56;54;57;26;31;804;426;378;95;50;45;899;476;423
------;Straftaten insgesamt;3159;Göttingen;LK;voll.;5,007;2,928;2,079;75;38;37;315;173;142;390;211;179;342;192;150;321;158;163;3,581;2,141;1,440;373;226;147;3,954;2,367;1,587
------;Straftaten insgesamt;3241;Region Hannover;LK;voll.;24,388;14,760;9,628;239;118;121;1,647;965;682;1,886;1,083;803;2,098;1,227;871;1,574;894;680;17,292;10,623;6,669;1,538;933;605;18,830;11,556;7,274
------;Straftaten insgesamt;3251;Diepholz;LK;voll.;2,548;1,467;1,081;35;18;17;217;132;85;252;150;102;270;163;107;182;112;70;1,677;941;736;167;101;66;1,844;1,042;802
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;voll.;2,365;1,340;1,025;30;17;13;180;79;101;210;96;114;262;134;128;213;140;73;1,532;890;642;148;80;68;1,680;970;710
------;Straftaten insgesamt;3254;Hildesheim;LK;voll.;3,966;2,254;1,712;47;23;24;328;203;125;375;226;149;418;213;205;276;146;130;2,625;1,507;1,118;272;162;110;2,897;1,669;1,228
------;Straftaten insgesamt;3255;Holzminden;LK;voll.;929;525;404;22;17;5;72;45;27;94;62;32;77;43;34;63;34;29;630;343;287;65;43;22;695;386;309
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;voll.;1,484;797;687;16;7;9;136;81;55;152;88;64;132;70;62;98;47;51;977;518;459;125;74;51;1,102;592;510
------;Straftaten insgesamt;3257;Schaumburg;LK;voll.;2,049;1,120;929;20;10;10;153;75;78;173;85;88;208;99;109;143;76;67;1,325;736;589;200;124;76;1,525;860;665
------;Straftaten insgesamt;3351;Celle;LK;voll.;3,049;1,685;1,364;43;16;27;250;144;106;293;160;133;275;139;136;234;147;87;2,003;1,095;908;244;144;100;2,247;1,239;1,008
------;Straftaten insgesamt;3352;Cuxhaven;LK;voll.;2,353;1,263;1,090;18;10;8;161;86;75;179;96;83;223;130;93;190;110;80;1,548;815;733;213;112;101;1,761;927;834
------;Straftaten insgesamt;3353;Harburg;LK;voll.;2,959;1,768;1,191;26;13;13;228;122;106;254;135;119;236;145;91;178;108;70;2,009;1,225;784;282;155;127;2,291;1,380;911
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;voll.;860;475;385;6;4;2;47;23;24;53;27;26;71;38;33;50;26;24;604;346;258;82;38;44;686;384;302
------;Straftaten insgesamt;3355;Lüneburg;LK;voll.;2,938;1,682;1,256;28;21;7;187;109;78;215;130;85;246;120;126;190;124;66;2,041;1,165;876;246;143;103;2,287;1,308;979
------;Straftaten insgesamt;3356;Osterholz;LK;voll.;1,225;678;547;13;6;7;77;44;33;90;50;40;161;90;71;113;60;53;780;435;345;81;43;38;861;478;383
------;Straftaten insgesamt;3357;Rotenburg (Wümme);LK;voll.;2,309;1,348;961;30;14;16;209;125;84;239;139;100;259;168;91;203;127;76;1,449;836;613;159;78;81;1,608;914;694
