1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;1,698;983;715;14;6;8;73;37;36;87;43;44;139;77;62;175;94;81;1,203;710;493;94;59;35;1,297;769;528
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;3,885;2,377;1,508;21;16;5;169;86;83;190;102;88;266;160;106;318;184;134;2,919;1,828;1,091;192;103;89;3,111;1,931;1,180
------;Straftaten insgesamt;1003;Lübeck;KfS;voll.;4,095;2,488;1,607;26;16;10;189;94;95;215;110;105;292;161;131;292;161;131;3,016;1,881;1,135;280;175;105;3,296;2,056;1,240
------;Straftaten insgesamt;1004;Neumünster;KfS;voll.;1,834;1,180;654;9;6;3;94;49;45;103;55;48;158;88;70;176;110;66;1,309;880;429;88;47;41;1,397;927;470
------;Straftaten insgesamt;1051;Dithmarschen;K;voll.;1,382;783;599;12;7;5;125;42;83;137;49;88;114;61;53;128;72;56;906;553;353;97;48;49;1,003;601;402
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;voll.;1,958;1,120;838;25;10;15;115;69;46;140;79;61;172;82;90;148;90;58;1,327;768;559;171;101;70;1,498;869;629
------;Straftaten insgesamt;1054;Nordfriesland;K;voll.;1,729;966;763;24;13;11;98;53;45;122;66;56;193;97;96;160;80;80;1,127;642;485;127;81;46;1,254;723;531
------;Straftaten insgesamt;1055;Ostholstein;K;voll.;2,142;1,318;824;20;9;11;166;104;62;186;113;73;170;109;61;172;118;54;1,384;839;545;230;139;91;1,614;978;636
------;Straftaten insgesamt;1056;Pinneberg;K;voll.;3,379;1,964;1,415;29;13;16;246;127;119;275;140;135;315;184;131;246;140;106;2,321;1,371;950;222;129;93;2,543;1,500;1,043
------;Straftaten insgesamt;1057;Plön;K;voll.;1,069;646;423;13;8;5;82;42;40;95;50;45;141;95;46;123;99;24;615;346;269;95;56;39;710;402;308
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;voll.;2,414;1,412;1,002;19;11;8;205;116;89;224;127;97;246;155;91;173;97;76;1,603;934;669;168;99;69;1,771;1,033;738
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;voll.;1,656;905;751;28;15;13;124;53;71;152;68;84;138;73;65;148;85;63;1,096;613;483;122;66;56;1,218;679;539
------;Straftaten insgesamt;1060;Segeberg;K;voll.;2,554;1,551;1,003;18;9;9;175;95;80;193;104;89;229;148;81;216;148;68;1,754;1,050;704;162;101;61;1,916;1,151;765
------;Straftaten insgesamt;1061;Steinburg;K;voll.;1,378;798;580;13;7;6;129;73;56;142;80;62;122;77;45;106;52;54;910;525;385;98;64;34;1,008;589;419
------;Straftaten insgesamt;1062;Stormarn;K;voll.;2,132;1,306;826;20;8;12;115;67;48;135;75;60;179;123;56;187;111;76;1,472;907;565;159;90;69;1,631;997;634
