1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
------;Straftaten insgesamt;3159;Göttingen;LK;voll.;3,979;2,447;1,532;45;16;29;247;136;111;292;152;140;310;159;151;387;268;119;2,733;1,712;1,021;257;156;101;2,990;1,868;1,122
------;Straftaten insgesamt;3241;Region Hannover;LK;voll.;18,073;10,999;7,074;201;110;91;1,029;588;441;1,230;698;532;1,489;873;616;1,451;894;557;12,924;7,970;4,954;979;564;415;13,903;8,534;5,369
------;Straftaten insgesamt;3251;Diepholz;LK;voll.;1,972;1,132;840;32;17;15;122;79;43;154;96;58;184;113;71;199;113;86;1,304;732;572;131;78;53;1,435;810;625
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;voll.;1,721;1,038;683;23;15;8;112;52;60;135;67;68;160;92;68;224;151;73;1,080;659;421;122;69;53;1,202;728;474
------;Straftaten insgesamt;3254;Hildesheim;LK;voll.;3,230;1,812;1,418;38;18;20;185;116;69;223;134;89;292;143;149;268;146;122;2,226;1,263;963;221;126;95;2,447;1,389;1,058
------;Straftaten insgesamt;3255;Holzminden;LK;voll.;768;427;341;7;5;2;85;51;34;92;56;36;73;36;37;86;51;35;465;247;218;52;37;15;517;284;233
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;voll.;1,159;651;508;15;6;9;89;47;42;104;53;51;117;68;49;96;57;39;747;411;336;95;62;33;842;473;369
------;Straftaten insgesamt;3257;Schaumburg;LK;voll.;1,546;896;650;18;11;7;86;47;39;104;58;46;178;118;60;161;102;59;1,009;563;446;94;55;39;1,103;618;485
------;Straftaten insgesamt;3351;Celle;LK;voll.;2,969;1,586;1,383;40;14;26;234;98;136;274;112;162;294;150;144;257;148;109;1,875;1,037;838;269;139;130;2,144;1,176;968
------;Straftaten insgesamt;3352;Cuxhaven;LK;voll.;1,795;993;802;29;10;19;121;66;55;150;76;74;164;101;63;216;140;76;1,121;597;524;144;79;65;1,265;676;589
------;Straftaten insgesamt;3353;Harburg;LK;voll.;2,523;1,545;978;31;14;17;164;96;68;195;110;85;261;160;101;238;156;82;1,623;997;626;206;122;84;1,829;1,119;710
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;voll.;562;311;251;5;4;1;41;21;20;46;25;21;52;21;31;43;29;14;378;209;169;43;27;16;421;236;185
------;Straftaten insgesamt;3355;Lüneburg;LK;voll.;2,305;1,317;988;40;28;12;165;87;78;205;115;90;221;146;75;189;117;72;1,549;858;691;141;81;60;1,690;939;751
------;Straftaten insgesamt;3356;Osterholz;LK;voll.;923;519;404;13;7;6;82;42;40;95;49;46;84;51;33;99;48;51;576;330;246;69;41;28;645;371;274
------;Straftaten insgesamt;3357;Rotenburg (Wümme);LK;voll.;1,912;1,101;811;30;14;16;140;76;64;170;90;80;242;139;103;218;127;91;1,166;686;480;116;59;57;1,282;745;537
------;Straftaten insgesamt;3358;Landkreis Heidekreis;LK;voll.;1,983;1,205;778;34;18;16;145;82;63;179;100;79;172;95;77;177;113;64;1,342;837;505;113;60;53;1,455;897;558
------;Straftaten insgesamt;3359;Stade;LK;voll.;2,197;1,311;886;34;21;13;159;70;89;193;91;102;220;131;89;262;205;57;1,409;813;596;113;71;42;1,522;884;638
------;Straftaten insgesamt;3360;Uelzen;LK;voll.;1,060;690;370;12;7;5;44;22;22;56;29;27;84;40;44;104;80;24;749;495;254;67;46;21;816;541;275
------;Straftaten insgesamt;3361;Verden;LK;voll.;1,271;730;541;36;14;22;92;58;34;128;72;56;125;72;53;109;72;37;819;470;349;90;44;46;909;514;395
------;Straftaten insgesamt;3401;Delmenhorst;KfS;voll.;939;533;406;8;3;5;73;41;32;81;44;37;109;72;37;115;61;54;595;336;259;39;20;19;634;356;278
------;Straftaten insgesamt;3402;Emden;KfS;voll.;597;332;265;6;6;0;47;22;25;53;28;25;45;22;23;55;35;20;407;235;172;37;12;25;444;247;197
------;Straftaten insgesamt;3403;Oldenburg (Oldenburg);KfS;voll.;2,288;1,324;964;29;14;15;87;39;48;116;53;63;176;89;87;221;138;83;1,655;971;684;120;73;47;1,775;1,044;731
------;Straftaten insgesamt;3404;Osnabrück;KfS;voll.;2,921;1,859;1,062;18;10;8;118;63;55;136;73;63;236;118;118;307;193;114;2,100;1,397;703;142;78;64;2,242;1,475;767
------;Straftaten insgesamt;3405;Wilhelmshaven;KfS;voll.;1,703;973;730;22;9;13;112;75;37;134;84;50;134;59;75;141;81;60;1,209;693;516;85;56;29;1,294;749;545
------;Straftaten insgesamt;3451;Ammerland;LK;voll.;915;503;412;14;5;9;55;23;32;69;28;41;80;40;40;103;58;45;610;345;265;53;32;21;663;377;286
------;Straftaten insgesamt;3452;Aurich;LK;voll.;2,162;1,250;912;32;16;16;149;93;56;181;109;72;217;122;95;284;176;108;1,346;770;576;134;73;61;1,480;843;637
------;Straftaten insgesamt;3453;Cloppenburg;LK;voll.;1,493;888;605;25;16;9;115;55;60;140;71;69;175;112;63;181;110;71;929;553;376;68;42;26;997;595;402
------;Straftaten insgesamt;3454;Emsland;LK;voll.;3,735;2,324;1,411;48;24;24;175;96;79;223;120;103;331;209;122;390;254;136;2,584;1,608;976;207;133;74;2,791;1,741;1,050
------;Straftaten insgesamt;3455;Friesland;LK;voll.;1,020;626;394;13;7;6;134;78;56;147;85;62;135;77;58;125;82;43;557;348;209;56;34;22;613;382;231
------;Straftaten insgesamt;3456;Grafschaft Bentheim;LK;voll.;1,283;740;543;20;8;12;109;42;67;129;50;79;161;75;86;163;113;50;776;472;304;54;30;24;830;502;328
------;Straftaten insgesamt;3457;Leer;LK;voll.;1,678;937;741;64;40;24;124;52;72;188;92;96;152;90;62;144;92;52;1,085;598;487;109;65;44;1,194;663;531
------;Straftaten insgesamt;3458;Oldenburg;LK;voll.;1,137;687;450;18;7;11;92;51;41;110;58;52;110;66;44;129;98;31;718;428;290;70;37;33;788;465;323
------;Straftaten insgesamt;3459;Osnabrück;LK;voll.;2,927;1,699;1,228;48;26;22;291;162;129;339;188;151;241;133;108;262;176;86;1,892;1,086;806;193;116;77;2,085;1,202;883
------;Straftaten insgesamt;3460;Vechta;LK;voll.;1,466;862;604;14;9;5;108;38;70;122;47;75;138;77;61;129;84;45;1,023;618;405;54;36;18;1,077;654;423
------;Straftaten insgesamt;3461;Wesermarsch;LK;voll.;1,039;594;445;26;17;9;79;47;32;105;64;41;95;49;46;107;64;43;665;384;281;67;33;34;732;417;315
------;Straftaten insgesamt;3462;Wittmund;LK;voll.;720;415;305;12;4;8;63;33;30;75;37;38;84;51;33;59;42;17;451;253;198;51;32;19;502;285;217
------;Straftaten insgesamt;4011;Bremen;KfS;voll.;9,602;5,707;3,895;67;29;38;384;177;207;451;206;245;771;434;337;888;560;328;6,928;4,196;2,732;564;311;253;7,492;4,507;2,985
------;Straftaten insgesamt;4012;Bremerhaven;KfS;voll.;2,420;1,376;1,044;21;10;11;122;66;56;143;76;67;211;122;89;170;83;87;1,777;1,024;753;119;71;48;1,896;1,095;801
------;Straftaten insgesamt;5111;Düsseldorf;KfS;voll.;9,755;6,078;3,677;50;33;17;341;200;141;391;233;158;745;449;296;897;573;324;7,208;4,515;2,693;514;308;206;7,722;4,823;2,899
------;Straftaten insgesamt;5112;Duisburg;KfS;voll.;7,773;4,230;3,543;68;37;31;513;298;215;581;335;246;664;375;289;612;301;311;5,465;2,990;2,475;451;229;222;5,916;3,219;2,697
------;Straftaten insgesamt;5113;Essen;KfS;voll.;7,143;4,023;3,120;51;27;24;444;255;189;495;282;213;535;289;246;529;287;242;5,149;2,921;2,228;435;244;191;5,584;3,165;2,419
------;Straftaten insgesamt;5114;Krefeld;KfS;voll.;3,450;1,929;1,521;30;12;18;189;90;99;219;102;117;263;151;112;280;154;126;2,455;1,392;1,063;233;130;103;2,688;1,522;1,166
------;Straftaten insgesamt;5116;Mönchengladbach;KfS;voll.;3,177;1,756;1,421;29;15;14;163;90;73;192;105;87;248;139;109;276;146;130;2,287;1,266;1,021;174;100;74;2,461;1,366;1,095
------;Straftaten insgesamt;5117;Mülheim an der Ruhr;KfS;voll.;1,552;768;784;11;5;6;79;40;39;90;45;45;140;75;65;132;71;61;1,071;519;552;119;58;61;1,190;577;613
------;Straftaten insgesamt;5119;Oberhausen;KfS;voll.;2,730;1,496;1,234;32;20;12;195;125;70;227;145;82;237;140;97;280;149;131;1,842;984;858;144;78;66;1,986;1,062;924
------;Straftaten insgesamt;5120;Remscheid;KfS;voll.;1,515;756;759;8;1;7;130;58;72;138;59;79;114;70;44;120;64;56;1,034;497;537;109;66;43;1,143;563;580
------;Straftaten insgesamt;5122;Solingen;KfS;voll.;1,952;976;976;25;13;12;127;81;46;152;94;58;193;87;106;156;87;69;1,333;630;703;118;78;40;1,451;708;743
------;Straftaten insgesamt;5124;Wuppertal;KfS;voll.;6,410;3,473;2,937;67;34;33;370;205;165;437;239;198;474;242;232;528;287;241;4,619;2,493;2,126;352;212;140;4,971;2,705;2,266
------;Straftaten insgesamt;5154;Kleve;K;voll.;2,819;1,520;1,299;22;12;10;192;87;105;214;99;115;240;121;119;281;168;113;1,910;1,031;879;174;101;73;2,084;1,132;952
------;Straftaten insgesamt;5158;Mettmann;K;voll.;5,271;2,788;2,483;27;19;8;258;152;106;285;171;114;417;224;193;415;216;199;3,781;1,971;1,810;373;206;167;4,154;2,177;1,977
------;Straftaten insgesamt;5162;Rhein-Kreis Neuss;K;voll.;4,164;2,309;1,855;31;18;13;270;166;104;301;184;117;375;223;152;353;216;137;2,867;1,535;1,332;268;151;117;3,135;1,686;1,449
------;Straftaten insgesamt;5166;Viersen;K;voll.;3,024;1,646;1,378;26;15;11;247;128;119;273;143;130;339;192;147;262;153;109;1,946;1,045;901;204;113;91;2,150;1,158;992
------;Straftaten insgesamt;5170;Wesel;K;voll.;4,582;2,526;2,056;52;26;26;297;162;135;349;188;161;422;249;173;396;216;180;3,124;1,722;1,402;291;151;140;3,415;1,873;1,542
------;Straftaten insgesamt;5314;Bonn;KfS;voll.;5,043;2,894;2,149;52;30;22;272;130;142;324;160;164;377;227;150;424;253;171;3,616;2,085;1,531;302;169;133;3,918;2,254;1,664
------;Straftaten insgesamt;5315;Köln;KfS;voll.;21,901;12,981;8,920;141;73;68;921;477;444;1,062;550;512;1,441;789;652;1,760;1,024;736;16,473;9,937;6,536;1,165;681;484;17,638;10,618;7,020
