1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;1,620;956;664;17;11;6;107;48;59;124;59;65;114;66;48;161;91;70;1,137;683;454;84;57;27;1,221;740;481
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;3,639;2,231;1,408;16;9;7;178;111;67;194;120;74;252;153;99;289;162;127;2,710;1,684;1,026;194;112;82;2,904;1,796;1,108
------;Straftaten insgesamt;1003;Lübeck;KfS;voll.;4,241;2,483;1,758;43;21;22;190;102;88;233;123;110;297;155;142;333;194;139;3,081;1,843;1,238;297;168;129;3,378;2,011;1,367
------;Straftaten insgesamt;1004;Neumünster;KfS;voll.;1,722;1,081;641;10;5;5;92;42;50;102;47;55;148;85;63;137;85;52;1,256;811;445;79;53;26;1,335;864;471
------;Straftaten insgesamt;1051;Dithmarschen;K;voll.;1,391;798;593;8;7;1;112;50;62;120;57;63;105;47;58;134;76;58;924;560;364;108;58;50;1,032;618;414
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;voll.;2,062;1,161;901;37;22;15;154;81;73;191;103;88;165;86;79;138;73;65;1,377;787;590;191;112;79;1,568;899;669
------;Straftaten insgesamt;1054;Nordfriesland;K;voll.;1,529;902;627;11;6;5;111;55;56;122;61;61;136;83;53;130;82;48;1,014;598;416;127;78;49;1,141;676;465
------;Straftaten insgesamt;1055;Ostholstein;K;voll.;2,198;1,246;952;23;12;11;143;89;54;166;101;65;200;101;99;157;104;53;1,438;813;625;237;127;110;1,675;940;735
------;Straftaten insgesamt;1056;Pinneberg;K;voll.;3,403;2,032;1,371;29;17;12;260;161;99;289;178;111;298;190;108;172;90;82;2,405;1,427;978;239;147;92;2,644;1,574;1,070
------;Straftaten insgesamt;1057;Plön;K;voll.;1,078;657;421;10;5;5;74;62;12;84;67;17;112;77;35;96;61;35;673;388;285;113;64;49;786;452;334
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;voll.;2,383;1,372;1,011;20;14;6;178;104;74;198;118;80;254;150;104;207;128;79;1,555;879;676;169;97;72;1,724;976;748
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;voll.;1,639;920;719;19;11;8;126;68;58;145;79;66;157;87;70;107;61;46;1,103;619;484;127;74;53;1,230;693;537
------;Straftaten insgesamt;1060;Segeberg;K;voll.;2,575;1,482;1,093;19;12;7;188;94;94;207;106;101;240;125;115;177;114;63;1,768;1,028;740;183;109;74;1,951;1,137;814
------;Straftaten insgesamt;1061;Steinburg;K;voll.;1,360;745;615;11;6;5;111;36;75;122;42;80;119;63;56;103;45;58;903;525;378;113;70;43;1,016;595;421
------;Straftaten insgesamt;1062;Stormarn;K;voll.;1,995;1,185;810;29;20;9;119;70;49;148;90;58;132;70;62;161;97;64;1,377;833;544;177;95;82;1,554;928;626
